artist,year,occurrences,title
Modest Mouse,2000,8882,Lives
Eliza Doolittle,2011,8865,Pack Up
Alice in Chains,2007,8843,Them Bones
Morcheeba,2002,8813,Way Beyond
Owl City,2007,8800,The Airway
And So I Watch You From Afar,2011,8761,The Voiceless
Michael Bolton,1995,8760,When a Man Loves a Woman
Aqua,2009,8745,Freaky Friday
Madonna,2009,8729,Justify My Love
Angels & Airwaves,2007,8701,Call to Arms
Breathe Carolina,2009,8697,Tripped And Fell In Portland
Enya,1997,8658,Watermark
Bonobo,2003,8657,Nothing Owed
Mayday Parade,2007,8643,Black Cat
B.B. King,1997,8624,There Must Be A Better World Somewhere
The Dresden Dolls,2004,8621,The Perfect Fit
Nirvana,1991,8615,In Bloom
Alison Krauss,2007,8585,You Will Be My Ain True Love
Relient K,2007,8576,I'm Taking You With Me
I'm from Barcelona,2007,8569,Oversleeping
Spoon,2010,8563,Before Destruction
Rammstein,2004,8555,Amerika
Cat Power,2006,8545,After It All
Finley Quaye,2004,8544,Dice
Mikromusic,2009,8533,Tam nie ma mnie
Broken Social Scene,2005,8528,Superconnected
Caesars,2008,8520,Jerk It Out
Dropkick Murphys,2005,8513,The Green Fields of France
Soldiers of Jah Army,2006,8499,Be Aware
Madvillain,2004,8489,Figaro
Sugarland,2006,8471,Settlin'
Civil Twilight,2009,8463,Letters From The Sky
