artist,year,occurrences,title
Darius Rucker,2009,8446,It Won't Be Like This For Long
Enya,2001,8446,Willows On The Water
Something Corporate,2010,8438,Forget December
Deana Carter,2012,8433,We Danced Anyway
The Presets,2008,8432,Yippiyo-Ay
Little People,2006,8421,Eitheror
Craig Morgan,2008,8419,International Harvester
Frightened Rabbit,2010,8384,Swim Until You Can't See Land
Darius Rucker,2010,8381,I Got Nothin'
Dashboard Confessional,2003,8371,This Is A Forgery
In Flames,1996,8342,Dead God in Me
Soulja Boy,2010,8335,Kiss Me Thru The Phone
Bedouin Soundclash,2004,8330,Gyasi Went Home
Opeth,1999,8319,Moonlapse Vertigo
Nightwish,2007,8310,The Poet and the Pendulum
Angus & Julia Stone,2007,8278,Just a Boy
Tom Petty,1989,8273,I Won't Back Down
Anberlin,2012,8267,Godspeed
Yellowcard,2007,8259,Light Up the Sky
múm,2002,8256,Finally We Are No One
Bow Wow,2006,8256,Shortie Like Mine
Celldweller,2012,8237,First Person Shooter
Creed,2001,8233,Weathered
4hero,2007,8222,Gonna Give It Up (Wanna Quit)
Five for Fighting,2000,8193,Superman (It's Not Easy)
Dream Theater,2011,8181,Outcry
The Decemberists,2005,8163,From My Own True Love (Lost at Sea)
Cansei de Ser Sexy,2006,8159,Meeting Paris Hilton
Nine Inch Nails,1997,8122,The Perfect Drug
Aphex Twin,1992,8089,Schottkey 7th Path
Metallica,1998,8082,Stone Cold Crazy
The Mars Volta,2005,8060,Multiple Spouse Wounds
Misfits,1997,8058,Return of the Fly
Ludovico Einaudi,2015,8056,Nefeli
Adam Lambert,2009,8045,Strut
Apocalyptica,2006,8040,Farewell
Scissor Sisters,2014,8032,I Don't Feel Like Dancin'
The White Stripes,2001,8032,Aluminum
Shantel,2008,8032,Disko Partizani
Savage Garden,1997,8025,Break Me Shake Me
Los Pericos,2002,8019,Pupilas Lejanas
Rise Against,2008,8002,Savior
Mazzy Star,1996,8000,Umbilical
Eminem,2000,8000,I'm Back
Dashboard Confessional,2002,7992,Saints And Sailors
Kleerup,2008,7991,Tower Of Trellick
Michael Bublé,2005,7975,Try a Little Tenderness
Kaiser Chiefs,2007,7964,Learnt My Lesson Well
Beck,2002,7935,Sunday Sun
Blur,2000,7923,On Your Own
Mayday Parade,2016,7881,Three Cheers for Five Years
Dierks Bentley,2003,7878,What Was I Thinkin'
Lifehouse,2017,7865,Everything
A Fine Frenzy,2009,7858,Stood Up
Four Tet,2005,7820,Clouding
Elton John,2005,7810,Song For Guy
Tokyo Police Club,2008,7795,The Baskervilles
Nickelback,2003,7786,Should've Listened
Janet Jackson,2009,7772,Go Deep
Bloodhound Gang,2005,7767,Foxtrot Uniform Charlie Kilo
Leftöver Crack,2004,7758,Crack City Rockers
The Smiths,1988,7744,I Don't Owe You Anything
Damien Rice,2003,7739,Delicate
Deep Purple,1987,7737,Never Before
The Velvet Underground,1969,7714,Candy Says
Vanessa Carlton,2004,7710,Rinse
deadmau5,2014,7680,Seeya
Enya,2005,7656,Christmas Secrets
Bo Kaspers Orkester,1998,7651,Undantag
Luke Bryan,2008,7648,All My Friends Say
Max Richter,2018,7645,The Blue Notebooks
OK Go,2012,7639,Get Over It
CKY,2005,7632,As The Tables Turn
Ladytron,2011,7609,Another Breakfast With You
Thievery Corporation,2008,7602,Retaliation Suite
Beach House,2008,7590,All The Years
Pendulum,2014,7577,Blood Sugar
Huey Lewis & The News,2012,7548,Stuck With You
Bee Gees,2010,7547,Don't Forget To Remember
Portishead,2008,7542,Plastic
Thievery Corporation,2005,7537,The Supreme Illusion
Ryan Adams,2007,7531,These Girls
Enya,2009,7527,One by One
Just Jack,2006,7523,I Talk Too Much
Empire of the Sun,2008,7511,Tiger By My Side
The Fratellis,2006,7501,Vince The Loveable Stoner
We Came As Romans,2009,7458,Roads That Don't End and Views That Never Cease
Brett Dennen,2013,7455,Ain't No Reason
Incubus,2009,7442,Admiration
The White Stripes,2007,7429,300 M.P.H. Torrential Outpour Blues
Common,2005,7416,Faithful
The Breeders,1993,7395,Saints
Queens of the Stone Age,2007,7391,The Fun Machine Took A Shit And Died
Live,2004,7383,Lightning Crashes
Everclear,2009,7379,I Will Buy You A New Life
Kings of Convenience,2001,7377,The Girl From Back Then
Radiohead,2012,7374,Knives Out
Holy Fuck,2006,7371,Lovely Allen
Enya,1995,7369,Pax Deorum
Beastie Boys,1994,7366,Transit Cop
blink-182,2001,7362,Online Songs
Yellowcard,2015,7355,Way Away
Skream,2006,7343,Blipstream
Kings of Convenience,2009,7340,My Ship Isn't Pretty
Eli Young Band,2008,7328,When it Rains
Beyoncé,2011,7326,Party
Telefon Tel Aviv,2009,7311,Your Every Idol
Maxwell,2009,7298,Playing Possum
Héroes del Silencio,1988,7289,Flor Venenosa
Damian Marley,2005,7280,We're Gonna Make It
Westside Connection,1996,7274,"The Gangsta, The Killa And The Dope Dealer"
Escape the Fate,2006,7271,Cellar Door
Owl City,2010,7265,Early Birdie
Blouse,2011,7260,Controller
Ratatat,2010,7223,Drugs
Steely Dan,1974,7216,With A Gun
The Dodos,2008,7206,The Season
Black Eyed Peas,2005,7202,Ba Bump
Benga,2008,7201,Loose Synths
Satyricon,2002,7198,Possessed
Rihanna,2008,7185,Say It
Surfer Blood,2010,7176,Neighbour Riffs
Snoop Dogg,2007,7171,Sexual Eruption
Richard Cheese,2002,7149,Chop Suey
Rammstein,1997,7141,Sehnsucht
DIR EN GREY,2008,7138,冷血なりせば
Incubus,1999,7137,I Miss You
Infected Mushroom,2009,7118,The Legend Of The Black Shawarma
KT Tunstall,2005,7114,Through the Dark
Lu,2011,7110,Por Besarte
Angels & Airwaves,2006,7090,Distraction
Calvin Harris,2009,7088,Flashback
Epica,2013,7069,Sensorium
Ulrich Schnauss,2001,7034,Nothing Happens in June
A Skylit Drive,2008,6988,In the Beginning There Was Void
OK Go,2002,6986,Don't Ask Me
Spoon,2006,6981,The Way We Get By
Little Joy,2008,6961,Keep Me In Mind
Aly & AJ,2007,6958,If I Could Have You Back
Thousand Foot Krutch,2009,6952,The Invitation
Akon,2008,6951,Keep You Much Longer
Liquid Tension Experiment,1998,6946,Universal Mind
Bullet for My Valentine,2014,6938,Scream Aim Fire
Devo,1978,6934,Sloppy (I Saw My Baby Gettin')
Billy Squier,2012,6925,The Stroke
Joe Nichols,2011,6917,I'll Wait for You
M83,2003,6913,God of Thunder
Four Tet,2003,6905,And They All Look Broken Hearted
Genesis,1999,6902,Misunderstanding
Mogwai,2005,6901,Stop Coming to My House
Rush,1985,6900,Territories
Elliott Smith,1995,6890,The Biggest Lie
Mazzy Star,1990,6889,She Hangs Brightly
Scissor Sisters,2004,6887,Get It Get It
The Almost,2007,6878,Everything That Makes Me Sick
Madeleine Peyroux,2009,6870,Somethin' Grand
Just Jack,2007,6870,Life Stories
Toby Keith,2002,6859,"Courtesy Of The Red, White And Blue (The Angry American)"
Alesso,2016,6857,Sweet Escape
Tonic,2000,6853,If You Could Only See
NOFX,1997,6846,Quart in Session
Suzanne Vega,2007,6817,Solitude Standing
blink-182,1999,6814,Mutt
The Futureheads,2006,6808,Cope
Midlake,2006,6808,Chasing After Deer
Rise Against,2011,6786,The Dirt Whispered
Alesana,2010,6781,Heavy Hangs The Albatross
AFI,2004,6777,Totalimmortal
Nouvelle Vague,2004,6771,Marian
Ace of Base,1993,6770,Living in Danger
Chris Cornell,1999,6760,Wave Goodbye
Liquid Tension Experiment,1999,6755,914
No Doubt,1992,6751,Get on the Ball
Cat Power,2008,6749,Silver Stallion
Akon,2004,6746,Locked Up
Sleeping with Sirens,2010,6744,"If I'm James Dean, You're Audrey Hepburn"
Joshua Radin,2008,6743,Friend Like You
Sly & The Family Stone,2002,6742,"Don't Call Me Nigger, Whitey"
The Fratellis,2007,6737,Cigarello
Nine Inch Nails,2007,6730,The Beginning of the End
The Cat Empire,2003,6727,One Four Five
Mother Mother,2008,6722,Ghosting
Mariah Carey,2001,6715,Can't Take That Away (Mariah's Theme)
Alexi Murdoch,2009,6712,All My Days
Grizzly Bear,2006,6708,Reprise
Silverchair,2000,6708,Abuse Me
Mad Season,1995,6671,November Hotel
Story of the Year,2008,6670,The Black Swan
Reel Big Fish,1996,6667,241
Four Year Strong,2007,6666,The Take Over
Avantasia,2011,6661,The Story Ain't Over
Sia,2008,6645,I Go to Sleep
Mat Kearney,2009,6642,Closer To Love
The All-American Rejects,2006,6642,Straitjacket Feeling
Gwen Stefani,2006,6640,U Started It
Eric Clapton,2015,6627,Change The World
Doves,2010,6620,Words
Maxïmo Park,2007,6602,Your Urge
Koop,2010,6599,Waltz for Koop
Mudvayne,2000,6585,-1
Garbage,1995,6582,Stupid Girl
Leonard Cohen,2000,6580,The Stranger Song
Jimmy Eat World,2007,6579,Always Be
Alesha Dixon,2009,6561,The Boy Does Nothing
The Bravery,2008,6551,Angelina
Dispatch,1997,6545,Two Coins
Soundgarden,1991,6544,Face Pollution
MUD,2012,6543,Tiger Feet
Allah-Las,2012,6535,Don't You Forget It
ATB,2004,6527,Wait for Your Heart
The Last Shadow Puppets,2008,6516,In My Room
Soundgarden,1996,6512,An Unkind
Green Day,2002,6501,Desensitized
All Time Low,2008,6490,Shameless
Ludovico Einaudi,2014,6484,Una Mattina
Jennifer Lopez,2012,6481,Waiting for Tonight
Dimmu Borgir,2009,6481,Devil's Path
blessthefall,2009,6481,Skinwalkers
Jack Johnson,2007,6478,"They Do, They Don't"
Enigma,1996,6459,Odyssey of the Mind
Musical Youth,2013,6455,Pass the Dutchie
Parachute,2009,6450,All That I Am
PJ Harvey,2007,6437,The Piano
Angelzoom,2005,6430,Blasphemous rumours
Fever Ray,2009,6429,Triangle Walks
Shpongle,2005,6424,Shnitzled In The Negev
Belanova,2006,6413,Me Pregunto
Groove Armada,2010,6410,Groove Is On
The Shins,2003,6383,So Says I
LCD Soundsystem,2013,6371,"New York, I Love You But You're Bringing Me Down"
Underworld,2010,6366,Louisiana
Regina Spektor,2004,6363,Lacrimosa
Bonobo,2010,6360,Prelude
Radiohead,1994,6359,Lewis (Mistreated)
Dido,1999,6348,Worthless
Charlotte Gainsbourg,2006,6345,Night-Time Intermission
The New Pornographers,2010,6337,Daughters of Sorrow
The Libertines,2007,6331,Boys in the Band
Sade,2010,6330,The Safest Place
Porcupine Tree,2004,6328,Third Eye Surfer
The Yardbirds,2012,6326,I Wish You Would
Queens of the Stone Age,2005,6323,Medication
The Avett Brothers,2007,6313,Die Die Die
Funki Porcini,1995,6298,White Slave
Ludacris,2002,6290,Rollout (My Business)
Atmosphere,2002,6262,Onemosphere
Tenacious D,2007,6255,Break In-City (Storm the Gate!)
Jamie Cullum,2009,6254,Blame It On My Youth
Jewel,1995,6250,Who Will Save Your Soul
Liz Phair,1993,6250,Girls! Girls! Girls!
Holy Fuck,2007,6231,Safari
Morcheeba,2014,6231,Rome Wasn't Built in a Day
Opeth,2003,6208,Hope Leaves
The Crystal Method,2004,6206,Acetone
Snow Patrol,2007,6200,Gleaming Auction
Misfits,2003,6199,Diana
Guns N' Roses,1987,6190,Rocket Queen
Metallica,1991,6184,Don't Tread on Me
Anna Nalick,2015,6179,Breathe (2 AM)
Parov Stelar,2009,6179,The Flame
Bullet for My Valentine,2010,6170,Your Betrayal
System of a Down,2011,6166,Aerials
Anberlin,2016,6163,Alexithymia
Ensiferum,2007,6162,Victory Song
Friendly Fires,2008,6157,Paris
Rise Against,2013,6156,Heaven Knows
Guns N' Roses,2008,6153,Shackler's Revenge
Soda Stereo,1983,6151,Cuando Pase El Temblor
Matchbox Twenty,1996,6149,Girl Like That
Quantic,2001,6144,Through These Eyes
Pearl Jam,1993,6134,Crazy Mary
Ludovico Einaudi,2004,6134,Cache-Cache
Kate Bush,2005,6134,King of the Mountain
Skid Row,1991,6133,The Threat
Paul Stanley,2006,6126,Live To Win
Billy Joel,2004,6124,Movin' Out (Anthony's Song)
Saosin,2006,6115,Some Sense Of Security
Duncan Dhu,2013,6115,En Algún Lugar
Santana,2007,6113,Interplanetary Party
Charlotte Gainsbourg,2009,6099,Voyage
Regina Spektor,2006,6099,On the Radio
Great Lake Swimmers,2007,6087,Catcher Song
Scissor Sisters,2006,6085,Ooh
Alesana,2006,6071,The Third Temptation of Paris
Devendra Banhart,2007,6063,My Dearest Friend
The Cardigans,2003,6057,Live and Learn
Kate Ryan,2011,6055,Desenchantee
Emarosa,2008,6055,What's A Clock Without The Batteries?
Jamiroquai,1994,6053,Emergency on Planet Earth
Broken Social Scene,2008,6050,Lover's Spit (Redux)
Dropkick Murphys,2013,6043,The Boys Are Back
Mazzy Star,1993,6040,Unreflected
The Grass Roots,2013,6037,Let's Live For Today
Orishas,2007,6034,Hay Un Son
Mando Diao,2009,6033,You Got Nothing On Me
Sam Smith,2014,6023,Money on My Mind
Beenie Man,2006,6021,Girls Dem Sugar
Styx,2010,6017,The Best Of Times
A Perfect Circle,2000,6014,Sleeping Beauty
Atmosphere,2003,6014,Always Coming Back Home to You
Death from Above 1979,2005,6012,Black History Month (Josh Homme Remix)
Blake Shelton,2013,6004,The More I Drink
Beyoncé,2013,5993,XO
Tycho,2006,5980,Brother
Young Money,2005,5975,2 Step
Travis,2001,5969,Follow The Light
PJ Harvey,1998,5966,The Wind
Citizen Cope,2004,5964,D'Artagnan's Theme
Semisonic,2010,5963,Secret Smile
The Police,1978,5960,Masoko Tanga
Jeff Buckley,1994,5949,Hallelujah
PJ Harvey,2004,5949,The Darker Days Of Me & Him
Rise Against,2004,5944,Life Less Frightening
Glee Cast,2010,5942,Safety Dance
Eagles,2007,5937,Busy Being Fabulous
Damian Marley,1996,5931,"10,000 Chariots"
Newton Faulkner,2008,5930,I Need Something
OK Go,2006,5929,A Million Ways
Chic,2013,5921,Le Freak
Barry White,2009,5920,What Am I Gonna Do With You
Drake,2009,5918,Houstatlantavegas
Elliott Smith,2000,5909,Pretty Mary K
Muse,2007,5894,City of Delusion
Dance Gavin Dance,2008,5883,Hot Water on Wool (Reprise)
Nightwish,2008,5872,Bye Bye Beautiful
Nine Inch Nails,2005,5858,Love Is Not Enough
Sade,1994,5856,Jezebel
Shadows Fall,2004,5854,The Power Of I And I
Cam'ron,2002,5850,Hey Ma
Soundgarden,1994,5844,Mailman
Aerosmith,1997,5842,Ain't That a Bitch
Doves,2009,5838,Catch the Sun
Tom Petty and The Heartbreakers,2000,5838,Change Of Heart
Eliza Doolittle,2010,5835,Moneybox
Gwen Stefani,2004,5826,The Real Thing
Caribou,2005,5823,Drumheller
John Frusciante,1994,5811,Running Away Into You
Cake,2007,5805,"Excuse Me, I Think I've Got a Heartache"
Molotov,2003,5802,Frijolero
Hot Chip,2006,5783,Tchaparian
Placebo,2011,5779,Pure Morning
Deer Tick,2007,5777,Diamond Rings 2007
Garbage,2007,5756,Vow
Depeche Mode,1997,5745,The Bottom Line
Camera Obscura,2001,5738,Double Feature
Arch Enemy,2007,5737,Blood On Your Hands
Godsmack,2007,5736,Voodoo
A Perfect Circle,2003,5717,The Nurse Who Loved Me
Emancipator,2010,5698,Siren
Zero 7,2010,5693,End Theme
John Prine,2010,5678,In Spite of Ourselves
MGMT,2009,5669,Kids
Erin McCarley,2009,5662,Lovesick Mistake
"Does It Offend You, Yeah?",2008,5662,Attack Of The 60 Ft Lesbian Octopus
Karen O and the Kids,2009,5653,Heads Up
Stars,2007,5646,Personal
Junip,2010,5646,Chugga-Chugga
M83,2004,5644,"Dead Cities, Red Seas & Lost Ghosts"
Mayer Hawthorne,2009,5643,A Strange Arrangement
Electric Light Orchestra,2006,5627,Mr. Blue Sky
Easton Corbin,2010,5627,This Far From Memphis
I Set My Friends on Fire,2008,5625,Brief Interviews With Hideous Men
The White Stripes,2002,5623,Lafayette Blues
The Sword,2006,5621,March of the Lor
Enigma,1993,5616,Second Chapter
Something Corporate,2003,5616,Miss America
Beats Antique,2008,5614,Shrine
Nick Drake,2011,5613,Pink Moon
Lasgo,2011,5607,Something (Radio Edit)
Blonde Redhead,2007,5596,My Impure Hair
R. Kelly,2013,5593,The World's Greatest
Macaco,2007,5591,Mama Tierra
Weezer,2005,5573,Beverly Hills
Rich Boy,2007,5568,Throw Some D's Remix
Shai,1992,5559,If I Ever Fall In Love
Zac Brown Band,2008,5540,Where The Boat Leaves From
Vance Joy,2014,5536,Riptide
Hole,2010,5516,Rock Star
Nightwish,2002,5514,Forever Yours
The Mars Volta,2008,5511,Askepios
Old Crow Medicine Show,2006,5506,My Good Gal
Arcade Fire,2004,5505,Haiti
"Nas & Damian ""Jr. Gong"" Marley",2010,5505,Africa Must Wake Up
The Mountain Goats,2002,5505,Have to Explode
Dave Matthews Band,2001,5503,So Much To Say
John Legend,2004,5502,It Don't Have to Change
Weezer,2001,5496,Don't Let Go
Tom Petty,1993,5485,Free Fallin'
Secret Service,2000,5483,Flash In The Night
Mos Def,1999,5474,Know That
Creedence Clearwater Revival,1970,5474,Sailor's Lament
Fall Out Boy,2008,5466,27
The Dillinger Escape Plan,2004,5464,Crutch Field Tongs
Dead Kennedys,2007,5464,Moon Over Marin
Dixie Chicks,2006,5463,Voice Inside My Head
Atmosphere,2008,5458,Like the Rest of Us
Tom Waits,1987,5450,Innocent When You Dream (78)
The Whitest Boy Alive,2006,5450,Burning
William Fitzsimmons,2009,5450,We Feel Alone
The Smashing Pumpkins,1995,5445,Take Me Down
Yelle,2008,5435,Ce Jeu (Tepr Remix)
Modeselektor,2007,5433,Edgar
Bosson,2001,5410,One In A Million
DMX,2009,5408,Where The Hood At
Demi Lovato,2008,5407,La La Land
Rusko,2012,5406,Woo Boost
Trisha Yearwood,1995,5399,XXX's And OOO's (An American Girl)
Emery,2010,5392,Bloodless
Tiësto,2009,5392,Fresh Fruit
Omarion,2015,5386,Ice Box
CKY,2002,5380,Sporadic Movement
Wyclef Jean,2007,5380,Sweetest Girl (Dollar Bill)
Yann Tiersen,1998,5376,La Dispute
Jeremih,2009,5376,My Ride
Ziggy Marley,2003,5371,I Get Out
Imogen Heap,2009,5368,Canvas
Two Gallants,2007,5367,Trembling of the Rose
Moderat,2009,5366,Rusty Nails (Shackleton remix)
Cœur de Pirate,2013,5365,Comme Des Enfants
Télépopmusik,2001,5356,Trishika
Greg Laswell,2008,5351,And Then You
Nine Inch Nails,2002,5341,Terrible Lie
"Albert Hammond, Jr.",2006,5335,Everyone Gets A Star
New Order,1992,5329,Age of Consent
Iron & Wine,2005,5328,The Trapeze Swinger
Josh Groban,2013,5324,Si Volvieras A Mi
Xploding Plastix,2002,5321,Pistola Hub Club
Lloyd,2007,5309,Killing Me
Devendra Banhart,2013,5305,Won't You Come Home
Mindless Self Indulgence,2011,5303,Bring The Pain
Thrice,2012,5301,In Exile
Moloko,1998,5297,Be Like You
Clint Mansell,2006,5296,Xibalba
Elliott Smith,2004,5292,Memory Lane
Melody Gardot,2007,5291,Some Lessons
Weezer,2002,5291,Love Explosion
Flying Lotus,2010,5287,Clock Catcher
Bloc Party,2008,5284,Trojan Horse
NOFX,1995,5278,Bob
Julieta Venegas,2006,5266,Sin Documentos
Helloween,1994,5263,The Game Is On
Neutral Milk Hotel,1995,5260,Tuesday Moon
Rogue Wave,2007,5257,Like I Needed
Iron & Wine,2004,5250,Fever Dream
Ludovico Einaudi,2006,5245,Melodia Africana I
Scatman John,2011,5240,Scatman (Ski-Ba-Bop-Ba-Dop-Bop)
The Kinks,2002,5231,Dedicated Follower Of Fashion
Sia,2012,5230,Soon We'll Be Found
Iron Maiden,2002,5229,Ghost of the Navigator
Fair to Midland,2007,5228,A Wolf Descends Upon The Spanish Sahara
St. Vincent,2009,5227,The Sequel
Brokencyde,2012,5221,Freaxxx
Enigma,2006,5219,Message From Io
Grandaddy,1999,5217,For The Dishwasher
Mastodon,2006,5212,Deep Sea Creature
Dixie Chicks,1998,5204,Let Him Fly
Atlas Sound,2008,5199,Winter Vacation
Eric Church,2013,5198,How 'Bout You
Ben Folds Five,1997,5198,Missing The War
Opeth,2002,5195,For Absent Friends
Huey Lewis & The News,1983,5195,I Want a New Drug
The All-American Rejects,2008,5193,Fallin' Apart
Fat Freddy's Drop,2005,5184,Roady
Billy Currington,2012,5181,That's How Country Boys Roll
Franz Ferdinand,2009,5180,Dream Again
Hatebreed,2002,5176,Proven
Blur,2014,5174,Parklife
The Rapture,2006,5166,Live In Sunshine
Nickel Creek,2000,5165,Out Of The Woods
Kaiser Chiefs,2005,5164,Team Mate
The Smiths,1986,5160,Vicar in a Tutu
ZZ Top,2013,5160,Can't Stop Rockin'
Yelle,2007,5159,Tu Es Beau
Huey Lewis & The News,2005,5158,Hip to Be Square
Fanfarlo,2009,5149,If It Is Growing
Manchester Orchestra,2009,5149,My Friend Marcus
Chris Cagle,2003,5142,Chicks Dig It
Crystal Castles,2011,5133,Vietnam
Antony and the Johnsons,2004,5132,Fistful of Love
The Format,2006,5129,The Compromise
Billy Bragg & Wilco,1998,5126,Hesitating Beauty
Local H,2011,5125,Fritz's Corner
Eagles of Death Metal,2004,5121,Already Died
Matisyahu,2004,5118,Aish Tamid
DJ Shadow,1996,5115,Best Foot Forward
Hinder,2005,5096,Homecoming Queen
Cornershop,1997,5092,Brimful Of Asha - The Norman Cook Remix (Single Version)
Massive Attack,2011,5090,Paradise Circus (Gui Boratto Remix)
Dum Dum Girls,2010,5087,Oh Mein M
CocoRosie,2010,5078,Grey Oceans
Florence + the Machine,2011,5065,Bird Song
Eluveitie,2017,5062,Epona
Amos Lee,2010,5061,Lies of a Lonely Friend
Stars,2003,5061,Life Effect
Calle 13,2012,5061,Electro Movimiento
Monsters of Folk,2009,5061,Baby Boomer
Chelsea Grin,2010,5050,Cast from Perfection
The Kinks,2014,5048,A Well Respected Man
Everclear,1995,5042,Queen Of The Air
Sin Bandera,2001,5038,Kilometros
The National,2005,5033,Lit Up
Jay-Z,2003,5033,Lucifer
Beastie Boys,2004,5024,We Got The
Kelly Clarkson,2011,5001,I Forgive You
Neko Case,2009,5000,Middle Cyclone
Sara Bareilles,2010,4995,Hold My Heart
Kate Nash,2010,4988,Later On
The Streets,2004,4987,Not Addicted
Tenacious D,2001,4981,Karate Schnitzel
Chris Cornell,2007,4976,Silence The Voices
Booka Shade,2010,4974,L.A.tely
Rob Zombie,2002,4969,Feel So Numb
A Place to Bury Strangers,2009,4964,Exploding Head
April Stevens,2011,4957,Teach Me Tiger
Nevermore,1999,4953,Ophidian
The Offspring,1994,4952,Gotta Get Away
Primus,1990,4936,Spegetti Western
