occurences,year,artist
3,2015,Barcode Brothers
3,2015,Enam
3,2015,Johnny Cash
3,2015,Tarja
2,2015,Joris Delacroix
2,2015,Ladytron
2,2015,Noisia
2,2015,Sam Smith
2,2015,Stromkern
1,2015,Bob Dylan
1,2015,Bob Marley & The Wailers
1,2015,Madeon
1,2015,Naoki Kenji
63937,2014,Owl City
62438,2014,Black Eyed Peas
55655,2014,Evanescence
52472,2014,Ice Cube
33178,2014,The Black Keys
30905,2014,Taylor Swift
20733,2014,Zero 7
19464,2014,The Pussycat Dolls
14021,2014,Klaus Badelt
12503,2014,Fiona Apple
11513,2014,Amos Lee
8032,2014,Scissor Sisters
7680,2014,deadmau5
7577,2014,Pendulum
6938,2014,Bullet for My Valentine
6484,2014,Ludovico Einaudi
6231,2014,Morcheeba
6023,2014,Sam Smith
5536,2014,Vance Joy
5174,2014,Blur
5048,2014,The Kinks
4926,2014,Black Sheep
4544,2014,D12
4475,2014,Kings of Convenience
4446,2014,Emil\u00edana Torrini
4318,2014,Chris Young
4290,2014,The Heavy
4218,2014,Zac Brown Band
4185,2014,Mariza
4140,2014,Britney Spears
4013,2014,Balkan Beat Box
3853,2014,The Cat Empire
3820,2014,Billy Idol
3782,2014,Matt Costa
3707,2014,Go West
3654,2014,Slick Rick
3446,2014,Damian Marley
3327,2014,Fatboy Slim
3064,2014,Corey Hart
3048,2014,UB40
3001,2014,Billy Talent
2975,2014,Chaka Demus & Pliers
2967,2014,Erasure
2947,2014,Madonna
2800,2014,My Chemical Romance
2751,2014,OutKast
2736,2014,Mike Oldfield
2732,2014,Drowning Pool
2688,2014,Miike Snow
2633,2014,Ska-P
2609,2014,Jason Mraz
2553,2014,Thomas Newman
2549,2014,Antony and the Johnsons
2541,2014,The Unicorns
2510,2014,Grace Jones
2260,2014,Reik
2248,2014,Yeasayer
2244,2014,Max Richter
2223,2014,J.J. Cale
2183,2014,Kylie Minogue
2149,2014,Stan Getz
2077,2014,Eluveitie
2006,2014,Foster the People
1981,2014,Epica
1960,2014,Tears for Fears
1958,2014,Madness
1922,2014,The Bravery
1847,2014,Soul II Soul
1818,2014,William Fitzsimmons
1808,2014,Matt Wertz
1779,2014,Madvillain
1778,2014,Secret Garden
1768,2014,Feeder
1727,2014,Chicane
1721,2014,Jackie DeShannon
1704,2014,Wilco
1674,2014,Sylvan Esso
1661,2014,William Orbit
1655,2014,Easy Star All-Stars
1631,2014,Minus the Bear
1623,2014,DMX
1575,2014,Pet Shop Boys
1574,2014,Madeleine Peyroux
1530,2014,ABBA
1508,2014,Johnny Gill
1475,2014,Sharon Van Etten
1451,2014,In This Moment
1400,2014,Emery
1334,2014,Armin van Buuren
1332,2014,Donell Jones
1297,2014,PPK
1278,2014,Manu Chao
1269,2014,Skinny Puppy
1239,2014,Real Estate
1230,2014,Jasmine Thompson
1218,2014,Finntroll
1209,2014,Norma Jean
1135,2014,Ginuwine
1108,2014,Tensnake
1068,2014,Wintersun
1062,2014,Bobbi Humphrey
1055,2014,Ministry
1047,2014,G-Unit
1028,2014,Bob Dylan
1016,2014,Com Truise
1007,2014,Dimmu Borgir
1007,2014,Frankie Valli & the Four Seasons
1005,2014,Q-Tip
968,2014,Steel Panther
918,2014,Creedence Clearwater Revival
912,2014,Todos Tus Muertos
901,2014,EPMD
892,2014,Indila
882,2014,Delerium
877,2014,Nicole Scherzinger
875,2014,Ben Folds Five
868,2014,Laibach
850,2014,ABC
847,2014,John Tavener
807,2014,Bad Manners
794,2014,Jason Der\u00fclo
784,2014,Linkin Park
778,2014,Owen Pallett
761,2014,Richard Marx
759,2014,Leftfield
727,2014,Tarrus Riley
714,2014,Diplo
709,2014,Liars
698,2014,3 Doors Down
690,2014,Milky Chance
678,2014,Alle Farben
666,2014,Ella On The Run
666,2014,Happy Mondays
665,2014,Mac DeMarco
638,2014,Loona
635,2014,The Divine Comedy
601,2014,U2
597,2014,The Dandy Warhols
